URL,category_code,category_description,date_added,source,notes
cripo.com.ua,NEWS,News Media,2014-04-15,citizenlab,
czeczenia-rus.blog.onet.pl,MILX,Terrorism and Militants,2014-04-15,citizenlab,
damochka.ru,GRP,Social Networking,2014-04-15,citizenlab,
dan-news.info,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dating.ru,DATE,Online Dating,2014-04-15,citizenlab,
datingyes.com,DATE,Online Dating,2014-04-15,citizenlab,
datmob.net,PROV,Provocative Attire,2014-04-15,citizenlab,
debt.wmtransfer.com,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
deep21.sitecity.ru,LGBT,LGBT,2014-04-15,citizenlab,
deffki.com.ua,PROV,Provocative Attire,2014-04-15,citizenlab,
deja-vu.kiev.ua,PORN,Pornography,2014-04-15,citizenlab,
demos-center.ru,POLR,Political Criticism,2014-04-15,citizenlab,
depositfiles.com,NEWS,News Media,2014-04-15,citizenlab,
diaspora.iatp.org.ua,HUMR,Human Rights Issues,2014-04-15,citizenlab,
digitalrussia.tv,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
diplomaticsecondpassport.com,COMM,E-commerce,2014-04-15,citizenlab,
direct.yandex.ru,COMM,E-commerce,2017-12-16,oonitarian,sanction list
directory.mblog.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
disk.yandex.ru,FILE,File-sharing,2017-12-16,oonitarian,sanction list
dmitriyev.hiblogger.net,NEWS,News Media,2014-04-15,citizenlab,
dni.ru,NEWS,News Media,2014-04-15,citizenlab,
dnipress.com,NEWS,News Media,2018-03-15,ksenia,Eastern Ukrainian pro-Russian website from new ministry of information blocklist proposal
dnmchs.ru,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
dnr-hotline.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnr-live.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnr-lnr.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnr-news.com,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnr-online.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnr-pravda.ru,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
dnr.one,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnr24.com,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnr24.su,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnrru.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
dnrtv.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
donbass.ua,NEWS,News Media,2014-04-15,citizenlab,
donmintrans.ru,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
donnerwort.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
drug-naroda.com,POLR,Political Criticism,2014-04-15,citizenlab,
drug-naroda.net,POLR,Political Criticism,2014-04-15,citizenlab,
drug-naroda.org,POLR,Political Criticism,2014-04-15,citizenlab,
drug-naroda.ru,POLR,Political Criticism,2014-04-15,citizenlab,
drugoi.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
drugspowerstore.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
e-news.su,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
echo.msk.ru,NEWS,News Media,2014-04-15,citizenlab,
echo.msk.rublognavalny,POLR,Political Criticism,2014-04-15,citizenlab,
ej.punkchords.com,POLR,Political Criticism,2014-04-15,citizenlab,
ej.ru,NEWS,News Media,2014-04-15,citizenlab,
elhosting.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
elitvip.ru,PORN,Pornography,2014-04-15,citizenlab,
elmi.ua,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
en.netlog.com,NEWS,News Media,2014-04-15,citizenlab,
en.rian.ru,NEWS,News Media,2014-04-15,citizenlab,
endryx.livejournal.com,NEWS,News Media,2014-04-15,citizenlab,
eng.cnews.ru,NEWS,News Media,2014-04-15,citizenlab,
eng.yabloko.ru,NEWS,News Media,2014-04-15,citizenlab,
english.ruvr.ru,NEWS,News Media,2014-04-15,citizenlab,
epravda.com.ua,NEWS,News Media,2014-04-15,citizenlab,
eroporno.ru,PORN,Pornography,2014-04-15,citizenlab,
eurasia.org.ru,NEWS,News Media,2014-04-15,citizenlab,
eve-kill.net,NEWS,News Media,2014-04-15,citizenlab,
events.wmtransfer.com,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
exchanger.money,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
expres.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
ext.ru,NEWS,News Media,2014-04-15,citizenlab,
facebook.com,NEWS,News Media,2014-04-15,citizenlab,
facenews.ua,NEWS,News Media,2014-04-15,citizenlab,
facty.ua,NEWS,News Media,2014-04-15,citizenlab,
fairness-dnr.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
fast-die.kiev.ua,MISC,Miscelaneous content,2014-04-15,citizenlab,
fast-torrent.ru,NEWS,News Media,2014-04-15,citizenlab,
fca.narod.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
fei.ru,PORN,Pornography,2014-04-15,citizenlab,
fgi-lnr.su,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
files.wmtransfer.com,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
fileshare.in.ua,NEWS,News Media,2014-04-15,citizenlab,
finance.yahoo.com,NEWS,News Media,2014-04-15,citizenlab,
fisadilillahi.com,HATE,Hate Speech,2014-04-15,citizenlab,
flash.va-bank.com,GMB,Gambling,2014-04-15,citizenlab,
flibusta.net,MMED,Media sharing,2014-04-15,citizenlab,
flirchi.ru,DATE,Online Dating,2014-04-15,citizenlab,
forum.lingvo.ru,COMT,Communication Tools,2014-04-15,citizenlab,
fraza.com.ua,NEWS,News Media,2014-04-15,citizenlab,
free.newyork.ru,COMT,Communication Tools,2014-04-15,citizenlab,
freedomhouse.orgrussia-eve-sochi,HUMR,Human Rights Issues,2014-04-15,citizenlab,
freepromote.ru,MMED,Media sharing,2014-04-15,citizenlab,
freepussyriot.org,NEWS,News Media,2014-04-15,citizenlab,
freeu.online,ANON,Anonymization and circumvention tools,2017-05-31,David Fifield,Download site for the FreeU web browser
freeu.zone,ANON,Anonymization and circumvention tools,2017-05-31,David Fifield,Download site for the FreeU web browser
freeware32.ru,MMED,Media sharing,2014-04-15,citizenlab,
from-ua.com,NEWS,News Media,2014-04-15,citizenlab,
frontzmin.ua,NEWS,News Media,2014-04-15,citizenlab,
gaia.ru,LGBT,LGBT,2014-04-15,citizenlab,
gamsoft.ru,GMB,Gambling,2014-04-15,citizenlab,
gayzona.com,LGBT,LGBT,2014-04-15,citizenlab,
gazeta.06237.info,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
gazeta.ru,NEWS,News Media,2014-04-15,citizenlab,
gazeta.ua,NEWS,News Media,2014-04-15,citizenlab,
gazetacrimea.ru,NEWS,News Media,2018-03-15,ksenia,Crimean pro-Russian website from new ministry of information blocklist proposal
gej.ru,LGBT,LGBT,2014-04-15,citizenlab,
gennbalashov.hiblogger.net,NEWS,News Media,2014-04-15,citizenlab,
genocid.net,NEWS,News Media,2018-03-15,ksenia,new ministry of information blocklist proposal
gknslnr.su,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
glavcom.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
glavnoe.ua,NEWS,News Media,2014-04-15,citizenlab,
glavred.in,NEWS,News Media,2014-04-15,citizenlab,
glavstat.govdnr.ru,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
glazev.ru,POLR,Political Criticism,2014-04-15,citizenlab,
globalvoicesonline.org,NEWS,News Media,2014-04-15,citizenlab,
go-krit.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
go-krit.comworkshop,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
goldnike-777.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
goloskarpat.infoblog,NEWS,News Media,2014-04-15,citizenlab,
golospravdy.com,NEWS,News Media,2018-03-15,ksenia,new ministry of information blocklist proposal
golosua.com,NEWS,News Media,2014-04-15,citizenlab,
google.com.ua,NEWS,News Media,2014-04-15,citizenlab,
google.com,NEWS,News Media,2014-04-15,citizenlab,
gorlovka.today,NEWS,News Media,2018-03-15,ksenia,Eastern Ukrainian pro-Russian website from the new ministry of information blocklist proposal
grani.punkchords.com,POLR,Political Criticism,2014-04-15,citizenlab,
grani.ru,NEWS,News Media,2014-04-15,citizenlab,
grani.rublogsfreeentries192925.html,NEWS,News Media,2014-04-15,citizenlab,
grani.rublogsfreeentries193731.html,NEWS,News Media,2014-04-15,citizenlab,
grani.ruopinionlimonov,POLR,Political Criticism,2014-04-15,citizenlab,
growclub.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
growerz.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
gtrklnr.com,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
guru.ua,NEWS,News Media,2014-04-15,citizenlab,
haamash.wordpress.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
haker.iphosting.ru,HACK,Hacking Tools,2014-04-15,citizenlab,
haplyk.hiblogger.net,NEWS,News Media,2014-04-15,citizenlab,
hi.dn.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
holmogor.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
hospital.playland.ru,XED,Sex Education,2014-04-15,citizenlab,
hosting.rbc.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
hoteljans.nl,COMM,E-commerce,2014-04-15,citizenlab,
hromadske.dn.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
hromadske.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
humanrights-ru.livejournal.com,POLR,Political Criticism,2014-04-15,citizenlab,
hunafa.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
hunafa.info,MILX,Terrorism and Militants,2014-04-15,citizenlab,
hvylya.net,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
hvylya.org,NEWS,News Media,2014-04-15,citizenlab,
hw.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
i-mult.tlum.ru,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
ikrim.net,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
ikstv.ru,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
ilga-europe.orghomehow_we_workprevious_projectsrussian_projectthe_russian_lgbt_network,LGBT,LGBT,2014-04-15,citizenlab,
imrussia.org,NEWS,News Media,2014-04-15,citizenlab,
in.reuters.com,NEWS,News Media,2014-04-15,citizenlab,
informator.lg.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
infoukrainian.com,NEWS,News Media,2014-04-15,citizenlab,
ingushetiyaru.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
inosmi.ru,NEWS,News Media,2014-04-15,citizenlab,
inosmi.ru,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
inpress.org.ua,NEWS,News Media,2014-04-15,citizenlab,
inter.uauk,NEWS,News Media,2017-10-16,igorv,
investigator.org.ua,POLR,Political Criticism,2017-09-28,igorv,Blocked in Eastern Ukraine
ipress.ua,NEWS,News Media,2014-04-15,citizenlab,
ipvnews.org,NEWS,News Media,2014-04-15,citizenlab,
iriney.vinchi.ru,REL,Religion,2014-04-15,citizenlab,
iriney.vinchi.rusectsmunit003.htm,REL,Religion,2014-04-15,citizenlab,
islam.com.ua,REL,Religion,2014-04-15,citizenlab,
itblogs.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
itc.uaarticle.phtml?ID=25235,NEWS,News Media,2014-04-15,citizenlab,
itc.uaarticle.phtml?ID=25236,NEWS,News Media,2014-04-15,citizenlab,
itc.uaarticle.phtml?ID=25237,NEWS,News Media,2014-04-15,citizenlab,
itc.uaarticle.phtml?ID=25238,NEWS,News Media,2014-04-15,citizenlab,
itc.uaarticle.phtml?ID=25240,NEWS,News Media,2014-04-15,citizenlab,
izpp.govdnr.ru,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
jahforum.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
jakor.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
jamagat.wordpress.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
join.com.ua,NEWS,News Media,2014-04-15,citizenlab,
judaica.kiev.ua,HUMR,Human Rights Issues,2014-04-15,citizenlab,
jurist.org,NEWS,News Media,2014-04-15,citizenlab,
justinkripps.ca,MISC,Miscelaneous content,2014-04-15,citizenlab,
kasparov.punkchords.com,POLR,Political Criticism,2014-04-15,citizenlab,
kasyanov.ru,POLR,Political Criticism,2014-04-15,citizenlab,
kavkaz.org.uk,MILX,Terrorism and Militants,2014-04-15,citizenlab,
